Lines,Lines_k,Lines_i,
LINE1,secondary,f5_22,
LINE2,f5_22,f5_75,
LINE3,f5_75,f5_83,
LINE4,f5_75,f5_117,
LINE5,f5_83,f5_87,
LINE6,f5_83,f5_132,
LINE7,f5_87,f5_92,
LINE8,f5_87,f5_140,
LINE9,f5_92,f5_98,
LINE10,f5_92,f5_130,
LINE11,f5_98,f5_105,
LINE12,f5_98,f5_148,
LINE13,f5_105,f5_111,
LINE14,f5_105,f5_166,
LINE15,f5_111,f5_133,
LINE16,f5_117,f5_124,
LINE17,f5_117,f5_125,
LINE18,f5_130,f5_149,
LINE19,f5_130,f5_139,
LINE20,f5_132,f5_161,
LINE21,f5_132,f5_142,
LINE22,f5_133,f5_153,
LINE23,f5_133,f5_188,
LINE24,f5_140,f5_160,
LINE25,f5_140,f5_151,
LINE26,f5_148,f5_167,
LINE27,f5_148,f5_159,
LINE28,f5_153,f5_174,
LINE29,f5_153,f5_211,
LINE30,f5_166,f5_178,
LINE31,f5_166,f5_173,
LINE32,f5_174,f5_189,
LINE33,f5_174,f5_227,
LINE34,f5_188,f5_200,
LINE35,f5_188,f5_194,
LINE36,f5_189,f5_201,
LINE37,f5_189,f5_237,
LINE38,f5_201,f5_234,
LINE39,f5_201,f5_268,
LINE40,f5_211,f5_216,
LINE41,f5_211,f5_222,
LINE42,f5_227,f5_232,
LINE43,f5_227,f5_238,
LINE44,f5_234,f5_308,
LINE45,f5_234,f5_274,
LINE46,f5_237,f5_243,
LINE47,f5_237,f5_256,
